UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
040504,PUESTO DE SALUD CHALHUANCA,AREQUIPA,CALLALLI
200303,E.S. I-2  TALANEO,PIURA,EL CARMEN DE LA FRONTERA
200303,E.S I-1 CAJAS SHAPAYA,PIURA,EL CARMEN DE LA FRONTERA
190107,STA. ISABEL,PASCO,PAUCARTAMBO
200604,CENTRO DE SALUD LANCONES,PIURA,LANCONES
090101,"""HOGAR PROTEGIDO HUANCAVELICA""",HUANCAVELICA,HUANCAVELICA
020511,PUESTO DE SALUD GORGORILLO,ANCASH,LA PRIMAVERA
020202,PUESTO DE SALUD  QUISHUAR,ANCASH,CORIS
160704,PUESTO DE SALUD I-1 UNANCHAY,LORETO,MORONA
190204,INDEPENDENCIA,PASCO,PAUCAR
200115,CENTRO DE ATENCION TEMPORAL CASA SOLIDARIA,PIURA,VEINTISEIS DE OCTUBRE
040104,PUESTO DE SALUD EL CURAL,AREQUIPA,CERRO COLORADO
150101,ONCO IPOR SERVICIOS MEDICOS ESPECIALIZADOS,LIMA,LIMA
040108,CENTRO DE SALUD SAN ISIDRO,AREQUIPA,LA JOYA
080902,KEPASHIATO,CUSCO,ECHARATE
021804,PUESTO DE SALUD SANTA ROSA DE PAQUIRCA,ANCASH,MACATE
021808,PUESTO DE SALUD TAMBO REAL,ANCASH,SANTA
021808,PUESTO DE SALUD VINZOS,ANCASH,SANTA
200507,PUESTO DE SALUD LA ISLA SAN LORENZO,PIURA,VICHAYAL
200410,P.S CHOCO,PIURA,YAMANGO
021808,PUESTO DE SALUD ALTO PERU,ANCASH,SANTA
230101,MOLAR S.O.S.,TACNA,TACNA
060701,AUQUE BAJO,CAJAMARCA,BAMBAMARCA
060608,ILLUGAN,CAJAMARCA,SAN ANDRES DE CUTERVO
150123,PUESTO DE SALUD PAMPA GRANDE,LIMA,PACHACAMAC
220912,AUCALOMA,SAN MARTIN,SAN ANTONIO
060907,CARMEN CAUTIVO,CAJAMARCA,TABACONAS
080101,SAGRADA FAMILIA,CUSCO,CUSCO
220101,SANTA ROSA DE OROMINA,SAN MARTIN,MOYOBAMBA
200101,OPTICA MEGA LENS,PIURA,PIURA
090117,CHUCLLACCASA,HUANCAVELICA,YAULI
150713,CUCULI,LIMA,MARIATANA
210309,LOROMAYO,PUNO,SAN GABAN
220905,NAVARRO,SAN MARTIN,CHIPURANA
200101,CENTRO MEDICO A&D,PIURA,PIURA
101005,WARIWAYIN,HUANUCO,RONDOS
221005,PUESTO DE SALUD SAN CRISTOBAL,SAN MARTIN,UCHIZA
080108,WORLD OPTICS,CUSCO,WANCHAQ
010504,QUILLILLIC,AMAZONAS,COLCAMAR
010705,DUNIA GRANDE,AMAZONAS,JAMALCA
